NOC;Nom;Latitude;Longitude
AFG;Afghanistan;33.0;66.0
ALG;Algérie;28.0;1.0
ARG;Argentine;-34.0;-64.0
ARM;Arménie;40.383333;44.95
AUS;Australie;-25.0;133.0
AUT;Autriche;48.0;14.0
AZE;Azerbaïdjan;40.3;47.7
BAH;Bahamas;25.0;-77.4
BDI;Burundi;-3.666667;29.816667
BEL;Belgique;50.641111111;4.668055555
BLR;Biélorussie;53.528333333;28.046666666
BRA;Brésil;-14.0;-53.0
BRN;Bahreïn;26.0675;50.551111
BUL;Bulgarie;42.75;25.5
CAN;Canada;56.0;-109.0
CHI;Chili;-33.0;-71.0
CHN;Chine;35.844722222;103.451944444
CIV;Côte d'Ivoire;8.0;-6.0
CMR;Cameroun;5.133333333;12.65
COL;Colombie;4.0;-73.25
CRC;Costa Rica;10.0;-84.0
CRO;Croatie;45.25;15.466667
CUB;Cuba;22.0;-79.5
CYP;Chypre;35.0;33.0
CZE;Tchéquie;50.0;15.0
DEN;Danemark;56.0;10.0
DOM;République dominicaine;18.8;-70.2
ECU;Équateur;-1.0;-78.0
EGY;Égypte;27.0;29.0
ERI;Érythrée;15.483333;38.25
ESP;Espagne;40.2;-3.5
EST;Estonie;59.0;26.0
ETH;Éthiopie;9.0;40.0
FIJ;Fidji;-18.0;178.0
FIN;Finlande;65.0;27.0
FRA;France;47.0;2.0
GAB;Gabon;-0.683330555;11.5
GBR;Royaume-Uni;54.6;-2.0
GER;Allemagne;51.0;10.0
GRE;Grèce;38.5;23.0
GRN;Grenade;12.116667;-61.666667
GUA;Guatemala;15.5;-90.25
HUN;Hongrie;47.0;19.0
INA;Indonésie;-2.0;118.0
IND;Inde;22.8;83.0
IRI;Iran;32.0;53.0
IRL;Irlande;53.0;-8.0
ISL;Islande;65.0;-19.0
ISR;Israël;31.0;35.0
ITA;Italie;42.5;12.5
JAM;Jamaïque;18.18;-77.4
JOR;Jordanie;31.2;36.5
JPN;Japon;35.0;136.0
KAZ;Kazakhstan;48.0;68.0
KEN;Kenya;0.1;38.0
KGZ;Kirghizistan;41.0;75.0
KOR;Corée du Sud;36.0;128.0
KOS;Kosovo;42.55;20.833333333
KSA;Arabie saoudite;23.716667;44.116667
LAT;Lettonie;57.0;25.0
LTU;Lituanie;55.2;24.0
MAR;Maroc;32.0;-6.0
MAS;Malaisie;3.7805111;102.314361666
MEX;Mexique;23.0;-102.0
MGL;Mongolie;46.0;105.0
MKD;Macédoine du Nord;41.65;21.716667
MNE;Monténégro;42.766667;19.216667
MOZ;Mozambique;-19.0;35.0
MRI;Maurice;-20.2;57.5
NAM;Namibie;-23.0;17.0
NED;Pays-Bas;52.316666666;5.55
NGR;Nigeria;9.0;8.0
NIG;Niger;17.0;10.0
NOR;Norvège;65.0;11.0
NZL;Nouvelle-Zélande;-41.2;174.0
PAR;Paraguay;-23.5;-58.0
PHI;Philippines;12.0;123.0
POL;Pologne;52.0;19.0
POR;Portugal;38.7;-9.183333333
PRK;Corée du Nord;40.0;127.0
QAT;Qatar;25.269535;51.212767
ROU;Roumanie;46.0;25.0
RSA;Afrique du Sud;-29.0;24.0
RUS;Russie;66.416666666;94.25
SGP;Singapour;1.3;103.8
SLO;Slovénie;46.0;15.0
SRI;Sri Lanka;7.0;81.0
SUD;Soudan;15.0;32.0
SUI;Suisse;46.798562;8.231973
SVK;Slovaquie;49.0;20.0
SWE;Suède;61.0;15.0
SYR;Syrie;35.216667;38.583333
THA;Thaïlande;14.0;101.0
TJK;Tajikistan;38.583333;71.366667
TTO;Trinité-et-Tobago;10.666666666;-61.516666666
TUN;Tunisie;34.0;10.0
TUR;Turquie;39.0;36.0
UAE;Émirats arabes unis;24.4;54.3
UGA;Ouganda;1.28;32.39
URU;Uruguay;-33.0;-56.0
USA;États-Unis;39.828175;-98.5795
UZB;Ouzbékistan;41.0;66.0
VEN;Venezuela;8.0;-67.0
VIE;Vietnam;16.0;108.0
ZIM;Zimbabwe;-19.0;30.0